feature,mi,lead,selected
lead_10_V5_morph_q_amp_mean,0.062487332251094374,lead10,True
lead_5_AVF_temp_rr_median,0.06245615763356036,lead5,True
lead_9_V4_temp_num_peaks,0.062398897515717124,lead9,True
lead_4_AVL_nonlin_sd2,0.061805386844271795,lead4,True
lead_4_AVL_spec_spectral_energy,0.06172786590707182,lead4,True
lead_0_I_temp_rr_std,0.061665955440317076,lead0,True
lead_1_II_temp_hr_mean,0.06160707017377094,lead1,True
lead_6_V1_temp_rr_mean,0.061598141566081385,lead6,True
lead_8_V3_temp_sdnn,0.06156115492968435,lead8,True
lead_0_I_temp_sdnn,0.06154899637598961,lead0,True
lead_1_II_stat_min,0.061352754901781915,lead1,True
lead_1_II_morph_s_amp_mean,0.06127707016484325,lead1,True
lead_7_V2_temp_hr_mean,0.06127324136168126,lead7,True
lead_1_II_temp_sdnn,0.06111609883729563,lead1,True
lead_11_V6_morph_qt_interval_mean,0.06093536045575783,lead11,True
lead_1_II_tf_spectrogram_mean,0.06082674487826534,lead1,True
lead_4_AVL_stat_max,0.060793030469951416,lead4,True
lead_9_V4_morph_area_t_mean,0.060559186980646815,lead9,True
lead_3_AVR_temp_rr_std,0.060371674132258746,lead3,True
lead_11_V6_stat_min,0.06032032354707732,lead11,True
lead_6_V1_temp_hr_mean,0.06003930791495175,lead6,True
lead_6_V1_nonlin_sd1,0.059659851393132214,lead6,True
lead_11_V6_temp_rr_mean,0.059567663724009234,lead11,True
lead_9_V4_temp_rr_mean,0.05933386263513576,lead9,True
lead_6_V1_morph_qrs_amp_mean,0.059201347201338274,lead6,True
lead_5_AVF_tf_spectrogram_mean,0.05916561124631938,lead5,True
lead_10_V5_morph_p_duration_mean,0.059073537217016844,lead10,True
lead_9_V4_temp_hr_mean,0.05895984514973431,lead9,True
lead_0_I_morph_p_duration_mean,0.05892541221789034,lead0,True
lead_3_AVR_nonlin_sd1,0.05885622094689933,lead3,True
lead_10_V5_temp_rr_mean,0.05845352075479386,lead10,True
lead_7_V2_temp_rr_median,0.058328277774478465,lead7,True
lead_8_V3_temp_num_peaks,0.05831484615833484,lead8,True
lead_1_II_temp_num_peaks,0.05826703681657759,lead1,True
lead_5_AVF_morph_area_t_mean,0.05826542394511454,lead5,True
lead_3_AVR_temp_rmssd,0.05819051628119456,lead3,True
lead_3_AVR_morph_p_amp_mean,0.05802308618060892,lead3,True
lead_9_V4_stat_min,0.05795984168840489,lead9,True
lead_2_III_stat_min,0.05789005460022767,lead2,True
lead_4_AVL_spec_spectral_kurtosis,0.05774463325358341,lead4,True
lead_6_V1_temp_rr_median,0.057633799413333395,lead6,True
lead_11_V6_temp_rmssd,0.05743906812574719,lead11,True
lead_9_V4_temp_rr_median,0.05709167487120888,lead9,True
lead_8_V3_temp_hr_mean,0.056676891388519654,lead8,True
lead_8_V3_stat_median,0.056111077895681705,lead8,True
lead_10_V5_stat_iqr,0.05567668985061456,lead10,True
lead_5_AVF_morph_s_amp_mean,0.05560618120425844,lead5,True
lead_0_I_stat_min,0.05519802880245073,lead0,True
lead_0_I_tf_spectrogram_mean,0.054981937854321705,lead0,True
lead_11_V6_stat_iqr,0.05496488158435899,lead11,True
lead_0_I_tf_wavelet_energy,0.054691216683545776,lead0,True
lead_3_AVR_morph_area_qrs_mean,0.05467713436620958,lead3,True
lead_4_AVL_morph_pr_interval_mean,0.054490012267677114,lead4,True
lead_9_V4_morph_qrs_slope_mean,0.054460165995760826,lead9,True
lead_1_II_nonlin_sd2,0.054440657569533,lead1,True
lead_4_AVL_stat_std,0.054126306818328286,lead4,True
lead_1_II_spec_dominant_frequency,0.054020998354395375,lead1,True
lead_4_AVL_stat_min,0.05390290473533821,lead4,True
lead_0_I_temp_rr_median,0.05367095938870845,lead0,True
lead_4_AVL_nonlin_dfa_alpha,0.05343357783840803,lead4,True
lead_3_AVR_temp_rr_median,0.053335172114706175,lead3,True
lead_8_V3_temp_rr_std,0.05320210864637438,lead8,True
lead_4_AVL_stat_mad,0.05317613234644898,lead4,True
lead_0_I_nonlin_sd1,0.053153652400744766,lead0,True
lead_4_AVL_stat_rms,0.05309659578861727,lead4,True
lead_11_V6_temp_rr_median,0.053032199583663474,lead11,True
lead_5_AVF_morph_t_slope_mean,0.05296421135131264,lead5,True
lead_9_V4_tf_inst_freq_std,0.052799303123852746,lead9,True
lead_1_II_morph_p_amp_mean,0.05275198429018961,lead1,True
lead_8_V3_temp_rmssd,0.05271476657394229,lead8,True
lead_2_III_nonlin_sd1,0.05268431709571111,lead2,True
lead_5_AVF_temp_rr_std,0.052593129298849316,lead5,True
lead_2_III_nonlin_sd2,0.05228160223247789,lead2,True
lead_8_V3_morph_t_slope_mean,0.052094968901494454,lead8,True
lead_5_AVF_stat_min,0.052007719295174316,lead5,True
lead_0_I_temp_rmssd,0.052005802035076786,lead0,True
lead_1_II_temp_rr_std,0.05189847035610122,lead1,True
lead_1_II_morph_qrs_duration_mean,0.051550623516099806,lead1,True
lead_7_V2_nonlin_sd2,0.05154313161711814,lead7,True
lead_5_AVF_stat_std,0.05128297161833495,lead5,True
lead_3_AVR_morph_qrs_slope_mean,0.05117277995846616,lead3,True
lead_9_V4_temp_rr_std,0.051011178203122086,lead9,True
lead_8_V3_temp_beat_to_beat_var,0.05082247915264371,lead8,True
lead_5_AVF_temp_sdnn,0.05079683300255302,lead5,True
lead_0_I_morph_qrs_amp_mean,0.05075187554757075,lead0,True
lead_8_V3_nonlin_sd2,0.05031174973548138,lead8,True
lead_6_V1_temp_beat_to_beat_var,0.050220597261382526,lead6,True
lead_4_AVL_temp_num_peaks,0.050140676423250284,lead4,True
lead_9_V4_stat_iqr,0.05011521807473127,lead9,True
lead_5_AVF_nonlin_sd2,0.05001317640051099,lead5,True
lead_6_V1_temp_sdnn,0.0499811247696272,lead6,True
lead_6_V1_temp_rr_std,0.0499811247696272,lead6,True
lead_5_AVF_temp_beat_to_beat_var,0.049683249786564576,lead5,True
lead_7_V2_temp_sdnn,0.04957684891585159,lead7,True
lead_0_I_stat_signal_power,0.04952115700131774,lead0,True
lead_5_AVF_temp_rr_mean,0.04931141987671506,lead5,True
lead_7_V2_temp_beat_to_beat_var,0.04909302524492161,lead7,True
lead_5_AVF_stat_rms,0.04893276488463525,lead5,True
lead_4_AVL_stat_variance,0.04853481828259891,lead4,True
lead_9_V4_morph_s_amp_mean,0.04838663178536269,lead9,True
lead_1_II_nonlin_sd1,0.04834763267045013,lead1,True
lead_4_AVL_stat_signal_power,0.04834322284100341,lead4,True
