feature,mi,lead,selected
lead_10_V5_stat_signal_power,0.02679944024195897,lead10,False
lead_1_II_morph_area_p_mean,0.02677591179547334,lead1,False
lead_11_V6_stat_energy,0.02676414913337628,lead11,False
lead_1_II_tf_inst_freq_std,0.026665631312772487,lead1,False
lead_11_V6_stat_std,0.026573031388998025,lead11,False
lead_7_V2_tf_spectrogram_std,0.026440096922951906,lead7,False
lead_11_V6_stat_peak_to_peak,0.02641053640177553,lead11,False
lead_10_V5_tf_tf_energy,0.026368804538083258,lead10,False
lead_2_III_tf_spectrogram_std,0.026331785947938523,lead2,False
lead_1_II_stat_peak_to_peak,0.026328520675584333,lead1,False
lead_11_V6_stat_range,0.026313432856396136,lead11,False
lead_3_AVR_spec_spectral_flux,0.026265353408813398,lead3,False
lead_0_I_tf_tf_energy,0.0261434538389961,lead0,False
lead_6_V1_stat_min,0.026057469166632298,lead6,False
lead_10_V5_morph_qrs_slope_mean,0.026049857417786492,lead10,False
lead_11_V6_stat_rms,0.025969607035573626,lead11,False
lead_1_II_stat_mean,0.025964130834318987,lead1,False
lead_6_V1_tf_spectrogram_mean,0.025888185350281433,lead6,False
lead_7_V2_morph_area_qrs_mean,0.025745227251532343,lead7,False
lead_10_V5_temp_pnn50,0.025609612780834602,lead10,False
lead_7_V2_morph_pr_interval_mean,0.02552797357035419,lead7,False
lead_9_V4_tf_spectrogram_mean,0.025442837063385813,lead9,False
lead_4_AVL_stat_mean,0.025403978223462697,lead4,False
lead_6_V1_morph_t_slope_mean,0.025067058503060523,lead6,False
lead_6_V1_morph_q_amp_mean,0.02504477899545048,lead6,False
lead_6_V1_morph_area_t_mean,0.024921938983796733,lead6,False
lead_2_III_stat_rms,0.02486881388861435,lead2,False
lead_2_III_morph_area_t_mean,0.024738740180015827,lead2,False
lead_6_V1_morph_s_amp_mean,0.024585481832601362,lead6,False
lead_10_V5_stat_std,0.024453084091007236,lead10,False
lead_3_AVR_tf_spectrogram_std,0.024299101534113854,lead3,False
lead_10_V5_stat_rms,0.024230861868785026,lead10,False
lead_9_V4_stat_mad,0.0241588495786208,lead9,False
lead_3_AVR_morph_area_t_mean,0.02388652103057811,lead3,False
lead_2_III_stat_std,0.023780459759083782,lead2,False
lead_5_AVF_tf_wavelet_energy,0.023639663875078785,lead5,False
lead_4_AVL_morph_qrs_slope_mean,0.02348620987913641,lead4,False
lead_0_I_tf_tf_centroid_time,0.023481889703257375,lead0,False
lead_9_V4_morph_area_p_mean,0.022849029274412257,lead9,False
lead_7_V2_tf_tf_centroid_time,0.022824722087792626,lead7,False
lead_7_V2_morph_area_p_mean,0.02280418361295049,lead7,False
lead_11_V6_spec_spectral_skewness,0.022594528902496736,lead11,False
lead_9_V4_tf_spectrogram_std,0.02259359457571799,lead9,False
lead_0_I_spec_spectral_centroid,0.022418415762977383,lead0,False
lead_2_III_morph_pr_interval_mean,0.022302588430692792,lead2,False
lead_10_V5_nonlin_fractal_dimension,0.022296233733114824,lead10,False
lead_1_II_tf_wavelet_energy,0.022203892060724862,lead1,False
lead_6_V1_morph_area_p_mean,0.02206080710259619,lead6,False
lead_10_V5_spec_spectral_kurtosis,0.021996409792431403,lead10,False
lead_0_I_stat_mean,0.02199556614272442,lead0,False
lead_9_V4_tf_spectrogram_entropy,0.021960884306641358,lead9,False
lead_3_AVR_spec_spectral_entropy,0.021667620585611003,lead3,False
lead_11_V6_morph_s_amp_mean,0.021639790179892992,lead11,False
lead_8_V3_stat_std,0.021598821419967294,lead8,False
lead_8_V3_morph_qrs_amp_mean,0.02129913646354411,lead8,False
lead_11_V6_stat_max,0.021265540326974454,lead11,False
lead_4_AVL_morph_area_t_mean,0.021200988652197505,lead4,False
lead_8_V3_morph_r_peak_amp_mean,0.021193459587313734,lead8,False
lead_11_V6_tf_wavelet_energy,0.021175245164209898,lead11,False
lead_0_I_morph_s_amp_mean,0.021147209143877,lead0,False
lead_0_I_tf_spectrogram_entropy,0.020872490065693184,lead0,False
lead_2_III_tf_tf_energy,0.020850314547667816,lead2,False
lead_8_V3_stat_rms,0.02067457899572487,lead8,False
lead_3_AVR_morph_t_amp_mean,0.020611416835761353,lead3,False
lead_7_V2_spec_spectral_energy,0.020453400053731752,lead7,False
lead_0_I_morph_area_p_mean,0.020203580084311314,lead0,False
lead_4_AVL_morph_t_amp_mean,0.020125280858982818,lead4,False
lead_11_V6_stat_mean,0.02010027031864676,lead11,False
lead_5_AVF_morph_p_qrs_ratio,0.020073957204184634,lead5,False
lead_2_III_stat_energy,0.02004409723938654,lead2,False
lead_11_V6_morph_qrs_amp_mean,0.019989447188507325,lead11,False
lead_6_V1_morph_p_qrs_ratio,0.019938418955567673,lead6,False
lead_2_III_stat_signal_power,0.019912222940845624,lead2,False
lead_2_III_stat_variance,0.01963045097279905,lead2,False
lead_8_V3_spec_spectral_skewness,0.019628787654681325,lead8,False
lead_2_III_stat_mad,0.019547562993693292,lead2,False
lead_6_V1_spec_spectral_flux,0.019524924725077542,lead6,False
lead_2_III_morph_area_p_mean,0.01948435810517619,lead2,False
lead_10_V5_spec_spectral_energy,0.01926393333772094,lead10,False
lead_9_V4_morph_r_peak_amp_mean,0.01917348433252166,lead9,False
lead_7_V2_morph_r_peak_amp_mean,0.01915863740701962,lead7,False
lead_0_I_morph_t_amp_mean,0.018998443255000507,lead0,False
lead_7_V2_spec_spectral_rolloff,0.018888295124322153,lead7,False
lead_10_V5_morph_r_peak_amp_mean,0.01879225977407235,lead10,False
lead_7_V2_morph_qrs_slope_mean,0.018743956459763567,lead7,False
lead_8_V3_morph_area_t_mean,0.01871878689427131,lead8,False
lead_8_V3_nonlin_dfa_alpha,0.01867919425686595,lead8,False
lead_9_V4_stat_signal_power,0.01865330716632303,lead9,False
lead_10_V5_stat_mean,0.01852248865240047,lead10,False
lead_11_V6_tf_spectrogram_std,0.018374819157691968,lead11,False
lead_8_V3_stat_variance,0.018352899966651348,lead8,False
lead_9_V4_stat_energy,0.018249266762282623,lead9,False
lead_3_AVR_spec_spectral_centroid,0.018243877811065446,lead3,False
lead_8_V3_stat_energy,0.018206379820131246,lead8,False
lead_1_II_tf_spectrogram_entropy,0.018202345727195056,lead1,False
lead_0_I_spec_spectral_rolloff,0.018188170081582643,lead0,False
lead_8_V3_morph_st_segment_mean,0.018071853580671336,lead8,False
lead_8_V3_stat_min,0.018054052275924447,lead8,False
lead_2_III_tf_inst_freq_mean,0.018020348629362103,lead2,False
lead_2_III_stat_max,0.018020249724422975,lead2,False
lead_5_AVF_tf_tf_energy,0.017925208746826904,lead5,False
lead_8_V3_stat_signal_power,0.01791008352383492,lead8,False
lead_11_V6_morph_t_amp_mean,0.01776124569286992,lead11,False
lead_11_V6_tf_wavelet_entropy,0.017729957658572548,lead11,False
lead_9_V4_tf_tf_centroid_freq,0.017613233915114535,lead9,False
lead_4_AVL_spec_spectral_rolloff,0.017587329207884483,lead4,False
lead_2_III_stat_cv,0.017488159050946007,lead2,False
lead_9_V4_morph_qrs_duration_mean,0.017360169744116406,lead9,False
lead_10_V5_spec_dominant_frequency,0.017230569040770492,lead10,False
lead_9_V4_stat_rms,0.017197826127317996,lead9,False
lead_8_V3_tf_spectrogram_entropy,0.017185803697168822,lead8,False
lead_10_V5_tf_spectrogram_std,0.017183004435425798,lead10,False
lead_5_AVF_spec_spectral_flux,0.017103283626053577,lead5,False
lead_6_V1_morph_r_peak_amp_mean,0.01686435414957783,lead6,False
lead_0_I_morph_qrs_duration_mean,0.01676013922745878,lead0,False
lead_9_V4_stat_std,0.0167134956429875,lead9,False
lead_3_AVR_morph_t_slope_mean,0.01665324452597452,lead3,False
lead_11_V6_spec_spectral_centroid,0.0166013919570815,lead11,False
lead_2_III_stat_skewness,0.01656899916163721,lead2,False
lead_7_V2_temp_zero_crossing_rate,0.01653580232249898,lead7,False
lead_10_V5_tf_tf_centroid_freq,0.016429188109841664,lead10,False
lead_1_II_stat_max,0.016428756588411718,lead1,False
lead_7_V2_spec_spectral_kurtosis,0.01633129717144586,lead7,False
lead_0_I_morph_pr_interval_mean,0.01620963466299803,lead0,False
lead_7_V2_tf_wavelet_energy,0.016170705247116814,lead7,False
lead_1_II_morph_qt_interval_mean,0.016060162895197204,lead1,False
lead_2_III_tf_spectrogram_entropy,0.016036946152044963,lead2,False
lead_7_V2_stat_peak_to_peak,0.01586544897310156,lead7,False
lead_1_II_spec_spectral_flux,0.015749752114777183,lead1,False
lead_10_V5_stat_peak_to_peak,0.015706552022530084,lead10,False
lead_3_AVR_spec_spectral_rolloff,0.015656709623377375,lead3,False
lead_11_V6_stat_median,0.015532621622831356,lead11,False
lead_5_AVF_nonlin_dfa_alpha,0.015487192463173826,lead5,False
lead_10_V5_stat_range,0.015410683282216864,lead10,False
lead_7_V2_spec_spectral_entropy,0.015198522236755618,lead7,False
lead_11_V6_morph_area_t_mean,0.015131654975150344,lead11,False
lead_2_III_morph_qrs_duration_mean,0.015078266602396395,lead2,False
lead_0_I_morph_t_slope_mean,0.015028388530199877,lead0,False
lead_11_V6_morph_area_qrs_mean,0.014865191541398603,lead11,False
lead_11_V6_spec_spectral_energy,0.014842534786491246,lead11,False
lead_9_V4_stat_variance,0.01480197331498918,lead9,False
lead_7_V2_stat_range,0.014729646503965776,lead7,False
lead_7_V2_morph_t_amp_mean,0.014714074423279256,lead7,False
lead_10_V5_nonlin_dfa_alpha,0.014642538498878598,lead10,False
lead_6_V1_tf_spectrogram_std,0.014321790063941187,lead6,False
lead_7_V2_tf_tf_energy,0.014291441273150296,lead7,False
lead_5_AVF_stat_mean,0.014261368454697854,lead5,False
lead_4_AVL_tf_spectrogram_entropy,0.014247687989444558,lead4,False
lead_5_AVF_tf_inst_freq_std,0.014240544244196806,lead5,False
lead_4_AVL_stat_median,0.014107556208105531,lead4,False
lead_5_AVF_tf_spectrogram_std,0.013970679978572643,lead5,False
lead_9_V4_spec_spectral_rolloff,0.01395846181905398,lead9,False
lead_11_V6_spec_spectral_kurtosis,0.01392616274144709,lead11,False
lead_7_V2_morph_p_amp_mean,0.013861192009406853,lead7,False
lead_4_AVL_tf_tf_centroid_freq,0.013603448138046925,lead4,False
lead_6_V1_tf_tf_centroid_freq,0.013514245673793246,lead6,False
lead_8_V3_tf_tf_centroid_time,0.013497437800068113,lead8,False
lead_0_I_morph_p_qrs_ratio,0.01346564872701963,lead0,False
lead_1_II_morph_q_amp_mean,0.013457423638434562,lead1,False
lead_5_AVF_morph_qrs_duration_mean,0.013335505100598688,lead5,False
lead_5_AVF_spec_spectral_energy,0.013257921366674497,lead5,False
lead_0_I_stat_iqr,0.013090062428555083,lead0,False
lead_1_II_morph_qrs_slope_mean,0.013056254247502164,lead1,False
lead_8_V3_spec_spectral_energy,0.013052020994224067,lead8,False
lead_6_V1_stat_median,0.013008815825828446,lead6,False
lead_8_V3_spec_spectral_entropy,0.012959345495713093,lead8,False
lead_2_III_spec_spectral_energy,0.012955929111047437,lead2,False
lead_6_V1_morph_area_qrs_mean,0.012843559701457341,lead6,False
lead_11_V6_tf_inst_freq_mean,0.012799343637198923,lead11,False
lead_0_I_spec_spectral_bandwidth,0.012696156234431521,lead0,False
lead_10_V5_morph_pr_interval_mean,0.012667494196578134,lead10,False
lead_9_V4_tf_inst_freq_mean,0.0126014528942902,lead9,False
lead_3_AVR_spec_spectral_skewness,0.012555562306044266,lead3,False
lead_6_V1_stat_rms,0.012392784335581863,lead6,False
lead_0_I_stat_cv,0.012211094490677032,lead0,False
lead_6_V1_stat_std,0.012210542123354618,lead6,False
lead_0_I_stat_skewness,0.012185959908243005,lead0,False
lead_7_V2_nonlin_fractal_dimension,0.01214559959792214,lead7,False
lead_9_V4_temp_pnn50,0.01190272883751704,lead9,False
lead_6_V1_stat_mean,0.011834358362639108,lead6,False
lead_5_AVF_morph_area_qrs_mean,0.011824390234575866,lead5,False
lead_8_V3_temp_pnn50,0.011816904167260977,lead8,False
lead_3_AVR_tf_tf_centroid_freq,0.011769968238927443,lead3,False
lead_0_I_stat_median,0.011739341672618054,lead0,False
lead_7_V2_tf_tf_centroid_freq,0.011714345756315182,lead7,False
lead_6_V1_nonlin_dfa_alpha,0.011666139824994115,lead6,False
lead_8_V3_tf_inst_freq_std,0.011621994691401304,lead8,False
lead_6_V1_spec_spectral_centroid,0.011571632618454685,lead6,False
lead_6_V1_tf_wavelet_entropy,0.011485742190015236,lead6,False
lead_7_V2_stat_mad,0.011424544801607928,lead7,False
lead_9_V4_spec_spectral_kurtosis,0.011302361834156515,lead9,False
lead_3_AVR_tf_spectrogram_entropy,0.011302262827682607,lead3,False
lead_3_AVR_tf_inst_freq_std,0.011273766809680685,lead3,False
lead_11_V6_tf_tf_centroid_time,0.01125841484078216,lead11,False
lead_0_I_spec_dominant_frequency,0.011217273779939151,lead0,False
lead_1_II_spec_spectral_entropy,0.011212108950804245,lead1,False
lead_5_AVF_morph_q_amp_mean,0.011136043473099466,lead5,False
lead_1_II_nonlin_dfa_alpha,0.010898947885605813,lead1,False
lead_5_AVF_tf_spectrogram_entropy,0.010891521926018388,lead5,False
lead_0_I_morph_area_t_mean,0.0108766737785154,lead0,False
lead_7_V2_temp_pnn50,0.010867837507754663,lead7,False
lead_6_V1_stat_iqr,0.010827911764405007,lead6,False
lead_6_V1_stat_kurtosis,0.010815899095871462,lead6,False
lead_4_AVL_morph_qrs_duration_mean,0.010733153618655455,lead4,False
lead_11_V6_stat_cv,0.010696043831007395,lead11,False
lead_0_I_tf_inst_freq_mean,0.010688558429939076,lead0,False
lead_1_II_tf_tf_centroid_time,0.010617786823341335,lead1,False
lead_9_V4_stat_cv,0.010610927264846826,lead9,False
lead_2_III_morph_qt_interval_mean,0.0105488298958893,lead2,False
lead_4_AVL_temp_zero_crossing_rate,0.010480668018943273,lead4,False
lead_7_V2_spec_spectral_centroid,0.010449428112574433,lead7,False
lead_2_III_morph_qrs_slope_mean,0.010210413024778564,lead2,False
lead_10_V5_stat_cv,0.010135433616996047,lead10,False
lead_1_II_morph_area_qrs_mean,0.010122502590480354,lead1,False
lead_2_III_stat_median,0.010041667106235285,lead2,False
lead_8_V3_spec_spectral_rolloff,0.009973477670377307,lead8,False
lead_9_V4_morph_qt_interval_mean,0.00996320523563612,lead9,False
lead_2_III_tf_inst_freq_std,0.00988273408951006,lead2,False
lead_9_V4_stat_mean,0.009878368892483991,lead9,False
lead_5_AVF_tf_tf_centroid_time,0.009861433323127588,lead5,False
lead_2_III_spec_spectral_entropy,0.009750851348693556,lead2,False
lead_4_AVL_stat_cv,0.00967240735331858,lead4,False
lead_1_II_morph_pr_interval_mean,0.00962559641380296,lead1,False
lead_6_V1_tf_tf_energy,0.009623668605281521,lead6,False
lead_2_III_temp_zero_crossing_rate,0.009340118259370467,lead2,False
lead_10_V5_tf_tf_centroid_time,0.009237672596849355,lead10,False
lead_8_V3_stat_iqr,0.009229188891788276,lead8,False
lead_6_V1_stat_cv,0.009129204071939378,lead6,False
lead_6_V1_stat_energy,0.00909038876320536,lead6,False
lead_2_III_tf_tf_centroid_freq,0.009088528444875755,lead2,False
lead_6_V1_stat_signal_power,0.009068783824933702,lead6,False
lead_3_AVR_nonlin_dfa_alpha,0.009062505948249555,lead3,False
lead_5_AVF_tf_inst_freq_mean,0.009009329920278563,lead5,False
lead_4_AVL_tf_inst_freq_std,0.008944081646440694,lead4,False
lead_6_V1_stat_variance,0.008929894936044836,lead6,False
lead_1_II_spec_spectral_energy,0.008879221659635261,lead1,False
lead_0_I_temp_zero_crossing_rate,0.008808281163270815,lead0,False
lead_7_V2_spec_spectral_skewness,0.008795583176206411,lead7,False
lead_5_AVF_stat_max,0.008755942671879912,lead5,False
lead_10_V5_spec_spectral_centroid,0.00867850674467845,lead10,False
lead_8_V3_stat_kurtosis,0.008658907612270905,lead8,False
lead_6_V1_stat_max,0.008547044406739345,lead6,False
lead_10_V5_temp_zero_crossing_rate,0.008509938276491491,lead10,False
lead_10_V5_tf_spectrogram_entropy,0.008124260920486214,lead10,False
lead_9_V4_spec_spectral_entropy,0.00811439435583301,lead9,False
lead_7_V2_morph_qrs_amp_mean,0.008105964939403697,lead7,False
lead_11_V6_morph_t_slope_mean,0.007923719351845281,lead11,False
lead_6_V1_temp_zero_crossing_rate,0.007919015537462926,lead6,False
lead_1_II_tf_tf_centroid_freq,0.007869582454918778,lead1,False
lead_3_AVR_stat_cv,0.0077645068739438106,lead3,False
lead_8_V3_tf_tf_energy,0.007730928205532761,lead8,False
lead_4_AVL_tf_inst_freq_mean,0.0076425014018451694,lead4,False
lead_5_AVF_spec_spectral_centroid,0.0076176742452246145,lead5,False
lead_2_III_morph_st_segment_mean,0.007466077204772503,lead2,False
lead_2_III_spec_spectral_centroid,0.007350191134689199,lead2,False
lead_1_II_tf_inst_freq_mean,0.007284688352093482,lead1,False
lead_2_III_morph_area_qrs_mean,0.00722643280625368,lead2,False
lead_1_II_nonlin_fractal_dimension,0.007122975974346524,lead1,False
lead_11_V6_spec_spectral_entropy,0.0070332531734329075,lead11,False
lead_2_III_morph_t_amp_mean,0.007004278128300223,lead2,False
lead_10_V5_morph_area_t_mean,0.00698536686850173,lead10,False
lead_8_V3_morph_q_amp_mean,0.006948257988888607,lead8,False
lead_0_I_stat_kurtosis,0.006916690310805995,lead0,False
lead_4_AVL_spec_spectral_centroid,0.006905498933018306,lead4,False
lead_7_V2_stat_max,0.00681347088273454,lead7,False
lead_1_II_spec_spectral_skewness,0.0068087610604527175,lead1,False
lead_7_V2_morph_q_amp_mean,0.006710586906337568,lead7,False
lead_9_V4_temp_zero_crossing_rate,0.006634354790670427,lead9,False
lead_6_V1_morph_qrs_duration_mean,0.006631146412648859,lead6,False
lead_8_V3_morph_pr_interval_mean,0.0064681303788844515,lead8,False
lead_5_AVF_tf_wavelet_entropy,0.006366979801287221,lead5,False
lead_6_V1_tf_tf_centroid_time,0.006337168862277309,lead6,False
lead_9_V4_stat_range,0.006299685288630652,lead9,False
lead_10_V5_spec_spectral_bandwidth,0.006239364124437241,lead10,False
lead_5_AVF_stat_median,0.006225567757268502,lead5,False
lead_2_III_spec_spectral_flux,0.006217319886857897,lead2,False
lead_1_II_temp_zero_crossing_rate,0.006141007083742389,lead1,False
lead_4_AVL_morph_t_slope_mean,0.006125186337071309,lead4,False
lead_7_V2_morph_p_qrs_ratio,0.006120398192426846,lead7,False
lead_7_V2_stat_iqr,0.005971677656148389,lead7,False
lead_6_V1_tf_spectrogram_entropy,0.005968210606308144,lead6,False
lead_9_V4_tf_tf_centroid_time,0.0059182173609876095,lead9,False
lead_5_AVF_temp_zero_crossing_rate,0.0057818982779566765,lead5,False
lead_11_V6_morph_r_peak_amp_mean,0.005702971309294469,lead11,False
lead_0_I_tf_inst_freq_std,0.005698826503658072,lead0,False
lead_0_I_nonlin_dfa_alpha,0.005674889474599798,lead0,False
lead_2_III_tf_wavelet_entropy,0.005672744875427948,lead2,False
lead_10_V5_morph_area_qrs_mean,0.005593142340060364,lead10,False
lead_11_V6_morph_qrs_slope_mean,0.005503194683138313,lead11,False
lead_9_V4_nonlin_fractal_dimension,0.005451984592737746,lead9,False
lead_8_V3_morph_area_p_mean,0.005397425999354733,lead8,False
lead_1_II_spec_spectral_bandwidth,0.005383511952113462,lead1,False
lead_2_III_stat_mean,0.005372713778075733,lead2,False
lead_8_V3_tf_spectrogram_std,0.005125014091639413,lead8,False
lead_4_AVL_morph_p_qrs_ratio,0.005081517061060437,lead4,False
lead_7_V2_nonlin_dfa_alpha,0.004996488355241491,lead7,False
lead_5_AVF_stat_cv,0.00495227800284157,lead5,False
lead_0_I_morph_r_peak_amp_mean,0.004909746632742707,lead0,False
lead_0_I_tf_wavelet_entropy,0.004889778580202541,lead0,False
lead_8_V3_morph_qrs_slope_mean,0.004826769746016613,lead8,False
lead_5_AVF_spec_spectral_bandwidth,0.004744623536679704,lead5,False
lead_11_V6_morph_pr_interval_mean,0.004736964564416102,lead11,False
lead_5_AVF_nonlin_fractal_dimension,0.004683524819863605,lead5,False
lead_6_V1_morph_pr_interval_mean,0.004614065694688518,lead6,False
lead_5_AVF_spec_spectral_rolloff,0.004525262259696294,lead5,False
lead_3_AVR_tf_wavelet_entropy,0.0043410008732018834,lead3,False
lead_1_II_spec_spectral_centroid,0.004326999599447934,lead1,False
lead_2_III_stat_kurtosis,0.004232250995746112,lead2,False
lead_6_V1_stat_mad,0.004164786876620053,lead6,False
lead_4_AVL_spec_spectral_entropy,0.004007291798249879,lead4,False
lead_7_V2_morph_qt_interval_mean,0.004002954717090024,lead7,False
lead_11_V6_spec_spectral_bandwidth,0.0037053231295258726,lead11,False
lead_6_V1_spec_spectral_rolloff,0.003637970320543893,lead6,False
lead_11_V6_nonlin_fractal_dimension,0.003634853331752952,lead11,False
lead_7_V2_stat_mean,0.0036322054487293977,lead7,False
lead_6_V1_tf_inst_freq_mean,0.003561593929149609,lead6,False
lead_6_V1_morph_t_amp_mean,0.003435064153233114,lead6,False
lead_11_V6_morph_p_qrs_ratio,0.0034075395461365954,lead11,False
lead_8_V3_nonlin_fractal_dimension,0.00330684163268673,lead8,False
lead_5_AVF_morph_pr_interval_mean,0.0032476090759490537,lead5,False
lead_0_I_spec_spectral_entropy,0.003136852661433975,lead0,False
lead_10_V5_spec_spectral_rolloff,0.0030092870813156923,lead10,False
lead_2_III_morph_p_duration_mean,0.002926386253837743,lead2,False
lead_8_V3_tf_tf_centroid_freq,0.0029238223917032345,lead8,False
lead_1_II_morph_p_qrs_ratio,0.0029113368785697257,lead1,False
lead_11_V6_morph_qrs_duration_mean,0.0028967964678091374,lead11,False
lead_4_AVL_morph_st_segment_mean,0.002856536781506591,lead4,False
lead_9_V4_spec_spectral_skewness,0.0027022842655819446,lead9,False
lead_7_V2_morph_st_segment_mean,0.002673475385102364,lead7,False
lead_10_V5_tf_wavelet_energy,0.0026732794602617902,lead10,False
lead_3_AVR_stat_min,0.0026065258839151452,lead3,False
lead_9_V4_morph_q_amp_mean,0.002447530300570877,lead9,False
lead_8_V3_spec_spectral_bandwidth,0.0021867976734197382,lead8,False
lead_6_V1_morph_qrs_slope_mean,0.0021756090546666495,lead6,False
lead_10_V5_spec_spectral_skewness,0.001872890825213336,lead10,False
lead_0_I_morph_qrs_slope_mean,0.0017563767056302027,lead0,False
lead_6_V1_tf_wavelet_energy,0.0017115957692457329,lead6,False
lead_8_V3_stat_mad,0.0016126150383473537,lead8,False
lead_7_V2_stat_cv,0.0015854417005862764,lead7,False
lead_8_V3_stat_max,0.001544035428114432,lead8,False
lead_10_V5_tf_wavelet_entropy,0.001300076320153165,lead10,False
lead_11_V6_tf_inst_freq_std,0.001299144200294622,lead11,False
lead_8_V3_morph_p_qrs_ratio,0.001125573785577183,lead8,False
lead_1_II_spec_spectral_rolloff,0.0010934071236401,lead1,False
lead_7_V2_spec_spectral_bandwidth,0.0010389899931957825,lead7,False
lead_11_V6_tf_spectrogram_entropy,0.0010251618110478145,lead11,False
lead_8_V3_stat_range,0.000999280486055154,lead8,False
lead_4_AVL_morph_r_peak_amp_mean,0.0009153951355437506,lead4,False
lead_7_V2_morph_area_t_mean,0.0009013527086578321,lead7,False
lead_8_V3_morph_p_amp_mean,0.0008318897829694638,lead8,False
lead_1_II_stat_cv,0.0007772324798130282,lead1,False
lead_8_V3_tf_inst_freq_mean,0.0007608035793396084,lead8,False
lead_8_V3_stat_peak_to_peak,0.0007523669058082216,lead8,False
lead_9_V4_stat_peak_to_peak,0.0007363688150115788,lead9,False
lead_7_V2_morph_qrs_duration_mean,0.00047762020128807594,lead7,False
lead_8_V3_morph_qrs_duration_mean,0.0003115496979197996,lead8,False
lead_9_V4_spec_spectral_bandwidth,0.00027767113976446823,lead9,False
lead_6_V1_spec_spectral_energy,0.00022964785997827696,lead6,False
lead_11_V6_tf_tf_centroid_freq,0.0,lead11,False
lead_8_V3_tf_wavelet_entropy,0.0,lead8,False
lead_8_V3_stat_mean,0.0,lead8,False
lead_7_V2_tf_inst_freq_std,0.0,lead7,False
lead_8_V3_stat_cv,0.0,lead8,False
lead_4_AVL_tf_wavelet_entropy,0.0,lead4,False
lead_6_V1_spec_spectral_entropy,0.0,lead6,False
lead_9_V4_nonlin_dfa_alpha,0.0,lead9,False
lead_6_V1_spec_spectral_bandwidth,0.0,lead6,False
lead_6_V1_nonlin_fractal_dimension,0.0,lead6,False
lead_5_AVF_morph_r_peak_amp_mean,0.0,lead5,False
lead_3_AVR_tf_tf_centroid_time,0.0,lead3,False
lead_4_AVL_morph_qt_interval_mean,0.0,lead4,False
lead_3_AVR_temp_zero_crossing_rate,0.0,lead3,False
lead_2_III_nonlin_dfa_alpha,0.0,lead2,False
lead_1_II_spec_spectral_kurtosis,0.0,lead1,False
lead_1_II_tf_wavelet_entropy,0.0,lead1,False
lead_11_V6_temp_zero_crossing_rate,0.0,lead11,False
lead_11_V6_spec_spectral_flux,0.0,lead11,False
